我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
宾杜计划与她的朋友举办一场派对。 他们在她家见面，讨论使用什么样的食物和乐队。 宾杜的一位朋友带来了印度萨莫萨炸三角和饮料。 四位朋友在派对上演奏了音乐。
泰勒睡醒了，需要在上学前洗个澡。 他的弟弟正在冲澡。 泰勒担心自己会错过公共汽车。 终于轮到泰勒洗澡了。
最近，托马斯一直感到被忽视。 他去医生那里做了体检。 他的医生告诉他，他的胆固醇水平有点高。 托马斯开始更加健康的饮食和散步。
门铃响了，但没人在。 她拿不准是否该开门。 她吱嘎一声慢慢打开了门，仔细往外瞧。 她的兄弟跳出来扑向她，把她吓了一大跳。
斯蒂芬妮想做苹果酱。 她决定开车去农贸市场挑选一些好吃的苹果。 她走过果园时，绊了一下摔倒了。 她的两个手腕都骨折了。
罗伊搞不清楚为什么他的公寓恶臭难闻。 他的朋友们去拜访他的时候都在议论这件事。 大家决定寻找气味的来源。 原来是冰箱里有一条变质的鱼。
吉米出身贫穷。 但是，他的父母总是尽最大努力抚养他。 吉米考上一所好的大学后，他的父母做两份工作支付学费。 毕业后，他想表达他的感激之情。
当一个英俊的男孩邀请吉尔参加大学舞会时，她感到很惊讶。 当她的室友做好准备好时，吉尔正忙着摆弄她的头。 吉尔的室友们表示可以帮忙。 吉尔穿好了她那件托加长袍似的白色长裙。
为给自己的酒吧做广告，一位酒吧老板打出了一条大横幅。 风很大，把横幅吹走了。 老板追着他的横幅跑遍了整个城镇。 条幅降落在一位老妇人的后院里。
我妈妈有一个南瓜小蛋糕的食谱，我很喜欢。 妈妈曾经为我做过南瓜小蛋糕，因为那天我遇上了很多倒霉事。 我吃了南瓜小蛋糕，感觉好多了。 小蛋糕让我想起了妈妈对我的关心。
蒂姆决定花更多的时间陪伴他的祖父。 蒂姆的祖父喜欢赏鸟，所以蒂姆就和他一起观赏小鸟。 他们在笔记本上记录了他们所看到的情况。 很快蒂姆就真的产生了兴趣！
今年夏天，丹尼正在当地的冰淇淋店工作。 他开始了第一份工作，非常兴奋。 丹尼上班第一天，一位小男孩的冰淇淋掉在了地上。 丹尼没有犹豫就知道该怎么做。
当时钟敲响两点时，学校的铃声就响了。 一天结束了，吉娜从未对这一刻如此高兴过。 她匆匆拿起自己的东西，在门口等待塔米。 但塔米正与丽塔、玛丽一起离开。
劳伦斯和他的家人决定搬家。 他们首先收拾好了家具。 然后他们收拾好了其他一切物品。 他们所有的物品都被搬进了货车。
乔伊想为她的寄居蟹找一只完美的壳。 她可以买一只壳，但是如果她找到一只壳，这只壳将会非常特别。 她整个上午都在海滩上搜寻。 所有可能有用的壳都是坏的！
威斯汀要结婚了！ 他希望举办一场完美的婚礼。 一切都很顺利，直到晚上。 有个人喝得酩酊大醉，掉进了蛋糕里！
乔正在帮助他爸爸清理他们后院的木柴。 突然，他听到了很大的嗡嗡声。 他捅了一个蜂窝。 他被蛰了六次才得以逃脱。
那是一个秋天。 托德的院子里到处都是树叶。 他作出决定：必须把这些树叶耙集起来。 他一耙集起树叶，就放进一个袋子里。
蒂姆曾梦想成为一个伟大的健身家。 他每晚都努力锻炼，以达成他的目标。 他的努力获得了回报，他在一个热门比赛中获得了一个席位。 他展示了他的技巧，举起了超过 250 磅重量。
亨利正走路去上课。 与此同时，他正试图用一块布擦拭他的手机屏幕。 很不幸，有人撞到他了。 他的手机从他手里掉下，摔倒了地上。
塔米决定参加排球选拔赛。 她刚刚 8 年级，但她知道自己很出色。 她全力以赴，竭尽所能。 她并没有料到其他选手也像她一样出色。
一天鲍勃和吉姆在房子里玩球。 他们打翻了花瓶，花瓶碎成了很多块。 他们害怕妈妈会生气。 他们找到了胶水，小心地将花瓶粘起来了。
斯蒂夫非常悲伤。 斯蒂夫的女朋友跟他分手了。 他决定给她写一首歌。 他将整颗心都融入了这首歌。
格洛丽亚想给她的丈夫买花。 仅仅半打百合花的价格就让格洛丽亚震惊。 格洛丽亚决定从花园里摘一些她自己的花。 她采了一些水仙花和菊花。
乔什每天都打篮球。 他的目标是能在球场上投进任何一个球。 一天，有人向他挑战，要和他进行比赛。 谁投进的球多谁就获胜！
劳伦一直想穿紧身牛仔裤去参加派对。 然而，她需要减肥，这样穿紧身牛仔裤才好看。 劳伦开始了一项具有挑战性的锻炼计划。 最后她终于减掉了足够的重量，可以穿紧身牛仔裤了。
我高中时去了夏威夷。 我们整个乐队班都去了。 飞到那里需要 9 个小时。 那是一个热带天堂。
桑尼住在德克萨斯，那是一个炎热的夏天。 他很受不了那种高温。 他决定找个办法来降温。 一开始，他想不到任何办法。
查德是一个很好的歌手。 他只是太害怕唱歌。 他想加入一个教堂合唱团，但是觉得他的朋友们会笑话他。 因为他对自己的技巧和激情感到很尴尬。
罗纳德有两个孩子，一个男孩和一个女孩。 那可绝对足够了。 诚实的说，他真不想要两个。 一天他的妻子告诉他，第三个孩子就要到来了。
上星期三我到远足。 走着走着，我偶然发现一些让我害怕的东西。 在我面前是一条 4 英尺长的蛇，长着圆珠般的眼睛。 我尖叫一声，一路跑回了主路上。
玛丽喜欢每天早上喝咖啡。 今天她比较匆忙。 她去了一家开车穿过的咖啡店。 当她开车离开后，发现咖啡点错了。
比尔刚刚搬到一个大城市工作。 他感到很孤独，因为他在这个城市里一个人都不认识。 一天下班后，比尔决定和一些同事一起去喝酒。 他和他们一起玩得非常开心。
比利想要成为一名医生。 他去读大学就是为了成为医生。 在他毕业拿到文凭之后，他的想法又改变了。 比利成了一名护士而不是一名医生。
昆顿被赶出了他的公寓。 他破产了，没有收入。 一天，他决定将他的最后积蓄拿来买彩票。 让他无法想象的是，他赢了 50,000 美元！
伊戈尔醒来后就开始准备去上班。 他打开淋浴，等着水变热。 水仍然是冷的。 他在洗冷水澡和不洗澡之间犹豫不决。
相比其他，塔拉最喜欢大型乐队音乐。 她喜欢所有圆号和其他铜管乐器都参与进来。 她试着找到其他大型乐队爱好者。 她的尝试失败了。
我到华盛顿特区去看望我的男朋友。 我们去了周围的很多地方。 但是有一个我想去的地方是白宫。 他带我去了白宫，我很高兴。
去年秋天，我儿子给他一岁的侄女买了一套鼓。 套装里有鼓槌、铜钹和一个鼓架。 他的侄女住在纽约市。 她来访的时候看到了，非常激动。
玛吉今晚举行了她的第一次钢琴独奏会。 她非常紧张。 当她登上舞台的时候，她在瑟瑟发抖。 幸运的是，她最后演奏得很好。
艾德喜欢和家人一起的电影之夜。 他们会拿上小吃和饮料，然后挤在电视机前。 今晚他们看的是《阿拉丁》。 但是艾德在演完之前就睡着了。
我决定向我的银行注册，加入一个圣诞俱乐部。 我打电话给出纳员，问什么时候可以。 她告诉我随时可以进来。 我今天早上去了，注册了这个计划。
麦克有一位素食朋友会来吃晚饭。 他知道不能做牛排或汉堡，叹息一声。 然后他想起一个用腰果做的阿尔弗雷多酱配方。 让他吃惊的是，酱做出来后像奶油一样，非常可口。
瑞恩过去曾为商场安保工作。 他经常值夜班。 一天，他在商场里看到一只浣熊。 他盯着它看了几个小时，直到它离开。
约翰尼的老师用自制的雪糕款待了全班。 老师让每位学生挑选一种颜色的果汁顶。 轮到他时，约翰尼发现只剩下一种颜色了，他很生气。 约翰尼的老师问怎么了。
蒂姆必须在三个女孩中选择一个约会。 他三个都很喜欢，但是不得不做一个决定。 他跟他们三个都谈了话，看她们谁更喜欢他。 他最后跟想更多看到他的那个女孩去约会了。
吉尔说服她的男朋友乔伊和她一起去寻找地理宝藏。 他觉得这听上去很没意思，但是还是决定迁就她。 他们搜索了地理宝藏应该位于的地址。 在搜索了超过一小时之后，他们仍然无法找到。
布里吉德和她的朋友艾拉都参加了钢琴课。 艾拉的父亲给她买了一架著名钢琴制造商制造的昂贵的三角钢琴。 布里吉德的父亲只买得起一架二手的竖式钢琴。 但艾拉是一个愚蠢而麻木的女孩，从来不练习。
戴夫想要买一把枪。 他去了一家枪械店，问了许多问题。 他东瞧瞧大枪，西看看小枪。 他决定要买一支大型猎枪。
萝丝坐火车去长岛。 在那里，她前往岛的一端。 她去了位处蒙托克角的沙滩。 当时天气很冷，大风狂刮。
德鲁在用一台打字机做一份特别企划。 他格外小心，因为他不能把字删掉。 然而他睡着了。 他的头靠在按键上，打出了几个字。
萨拉对夜空一向很着迷。 萨拉的父亲注意到她热爱的事，于是给她买了一架新的望远镜。 她兴奋极了。 她每晚都到外面去，认真地观赏夜空。
克里斯汀厌倦了自己的房间。 她需要改动房间的布局。 她已经四年没做改动了。 搬动一切后，她看到床罩下有个很大的污迹。
我姐姐在 35 岁时搬来和我一起住。 她之前和一个家暴男住在破旧不堪的拖车公园里。 那个男人查到了她的下落，在一个寒冷阴暗的夜晚来到我的家。 他趁我们睡觉时闯进了我的家。
我的父母不相爱了。 我不确定这在什么时候发生，他们之间的感觉似乎是相互的。 他们决定友好地结束这段关系。 虽然我很难受，但我很高兴他们选择了一条彼此都满意的路。
安娜即将有个小弟弟/妹妹。 她的妈妈进了医院，安娜满心期待着。 她想要一个小妹妹，而不是小弟弟！ 她妈妈带着宝宝回家时，安娜简直乐开怀了。
莫妮卡决定和她的朋友玩真心话大冒险。 他们害怕袒露真话，只好选择大冒险。 随着时间一点一点地过去，大冒险变得越来越劲爆了。 莫妮卡挑战一位朋友去店里偷 Doritos 薯片，朋友照她的话去做。
雷去一位朋友的家过夜。 他发现到自己忘了带牙刷。 他不能刷牙！ 雷尝试将牙膏挤到手指上，然后用手刷牙，但这无济于事。
艾莉有很多作业要做。 她开始做数学作业。 做完后，她写了一篇读书报告。 最后一个作业是写一份学习指南，她花了十分钟写完。
唐喜欢看漫画书。 他始终坚持收集他喜欢的漫画期刊。 随着年龄的增长，他对漫画的兴趣越来越浓。 他决定创办一家漫画公司。
阿诺德很怕蝙蝠。 他认为如果它们咬了他，他就会变成吸血鬼。 有一天，他在浴室里看见一只蝙蝠。 他吓得哇哇大叫。
安娜贝尔喜欢唱歌。 她在学校唱诗班唱歌。 玛丽注意到安娜贝尔有一副好歌喉。 玛丽邀请安娜贝尔加入她的乐队。
乌奇在非洲旅行。 有一晚，他被一条黑曼巴蛇咬。 乌奇痛得尖叫起来！ 他被迅速送往当地医院。
肖恩无家可归。 他在街上乞讨。 没有人给他钱整整一周了。 他快饿死了。
两位流浪汉同意一起做晚餐。 他们各自出发去寻找食材。 第一位流浪汉带着一只破靴子回来。 第二位带着一大堆蝶形螺帽回来。
朱迪和比尔正在准备晚饭，他们打算和父母一起吃饭。 朱迪做了土豆烤肉和肉汁卷饼。 比尔摆设桌子，播放一些背景音乐。 门铃响了，是他们的父母。
萨尔的腿受了伤，因为他的老婆无意绊倒了他。 她感觉糟透了，所以无微不至地照顾他。 她给他买食物，并发许多短信给他。 萨尔享受她的关心。
丽贝卡和杰克在六岁时相识。 他们成了最好的朋友，并一起长大。 他们 13 岁时，杰克一家要搬走。 他向丽贝卡保证日后会回来找她。
在某个周末，我们想和孩子一起去看电影。 当时有两部他们希望看的电影在放映。 于是我们分开行动。 我和两个孩子去看其中一部电影，我丈夫和儿子则看另一部。
艾米的姐姐在假期带她去海滩冲浪。 艾米匆匆穿上潜水服。 艾米总掌握不了潜水的要领，但教练对她很有耐心。 艾米最终能靠自己潜水。
恺给自己造了一只木筏。 他使用废材和钉子。 整个春天他都在努力造筏。 到了夏天，他去湖里测试它。
马克斯是个很聪明的男孩。 但他会迷失在自己天马行空的想象力里。 不管怎么努力，他还是经常做白日梦。 马克斯在学校里表现不好。
吉娜在她爷爷的葬礼上。 吉娜看着朋友们一一发表悼词，讲述他的事迹。 那些故事既有趣又很好笑。 吉娜有机会见识她爷爷的另一面。
阿什莉今天一整天都感觉很不舒服。 她一直犯恶心想吐。 她问老板能不能回家。 老板准许她下班。
马利每晚都睡不好觉。 她打算去买一张新床。 她去了最近的商店，但找不到自己喜欢的床。 她把自己的失眠问题告诉她的妈妈。
乔是一位满怀抱负的记者。 但他对新闻媒体感到很失望。 他考虑过重返学校，但最后还是决定不回去念书。 他最终找到一份待遇优厚的工作。
莉兹住在一座热带岛屿上。 他们每天都去香蕉种植园拿些香蕉。 今天莉兹想要自己动手摘香蕉。 她爬上了一棵高大的树，发现它的茎秆极大。
1997年，我乘坐一辆老旧的公交车。 当地旅行团租了一辆刷成老旧颜色的 1957 年的公交车。 我坐在这辆公交车里，穿行在波士顿郊区。 我拍了很多张照片。
布莱恩好奇自己的胳膊为什么痒。 因为太痒了，所以他不停地挠胳膊，都留下疤了。 最后他去看了医生，发现是毒藤引起的。 医生给了他药膏和一些抗生素。
在篮球场上，托尼和马克是互不相让的对手。 每天放学后，他们都在街头碰面打会篮球。 他们一直玩一对一。 他们经常势均力敌。
贝琪和朋友们准备做几块糖果。 她们把材料都准备好了，做了起来。 姑娘们玩得不亦乐乎。 糖果冷了后，她们把糖果放进袋子里。
罗宾去了健身房。 她锻炼了2小时。 在健身房里，她锻炼了手臂和腹部。 她决心保持身材。
蕾切尔辛苦工作，买了第一套房。 她对自己的成就很自豪。 不幸的是，她丢了工作，最终也丢了房子。 她决定住在宾馆里，找一份新工作。
温蒂带女儿去果园。 她们摘了一大堆苹果，带回了家。 她们一起给苹果去皮，清洗。 温蒂和女儿用苹果烤了一个香喷喷的派。
上个月，比尔把2个星期的零钱都存了起来。 是为了商店里的一根棒棒糖。 他带上所有零钱，买了棒棒糖。 回家的路上，他绊倒了。
尼尔正在去罗马尼亚旅游。 他刚到，看到了特兰西瓦尼亚，很兴奋。 他到那里的时候，看到了雄伟的古城堡。 他还发现了一些热情的当地人。
马克喜欢电子游戏。 他最喜欢的电子游戏系列出了新游戏。 他辛勤工作，攒下所有钱。 最终，他买得起这款游戏了。
上星期，一个特技替身试了一个新特技。 特技包括一起重大车祸。 出事了，一根安全绳断了。 椅子将特技演员弹了出去。
帕梅拉很激动，她终于有了男朋友，叫拉尔夫。 拉尔夫从不听她说话。 他很少准时出现。 他总是和别的女孩玩暧昧。
海伦想去太空。 她决定当一名宇航员。 她勤奋学习。 她通过了所有测试！
上周我搬进了新公寓。 我有一大堆东西要搬。 我花了8个多小时才把所有东西搬进公寓。 然后我整理好了所有东西。
海丽喜欢和朋友们玩。 她每周和朋友聚一次。 有一天海丽的妈妈和另外一个妈妈吵架了。 海丽被告知她们再也不能来了。
梅贝尔的口气一直如薄荷般清新。 她的家也是这样，至少他记忆中如此。 直到今天，他的橱柜里还备着薄荷糖。 它们让他想起外婆，想到她对他的意义。
杰克与朋友们去山里滑雪。 杰克不太会滑雪，但还是去了。 一天，他们来到一段有挑战性的山坡。 其他男孩都挺好，但杰克摔断了腿！
瓦莱丽决定要学德语。 她报了一个学习班。 没有上课的时候，她非常认真地学习。 很快，她决定和一位德国朋友练习说德语。
克莱尔去了商场。 她碰见朋友萨莉。 她们在商场里吃了午饭。 那天接下来的时间，她们都在购物。
提姆刚刚获得一部新手机。 拿到手机后几个小时内，他摔了它好几次。 他觉得自己需要一个保护手机的手机壳。 他去了当地一个商店，买了一个防水手机壳。
吉娜一家把车停到了公路的休息区。 吉娜出来，拉了拉腿。 服务区有个加油站，一家汉堡王。 吉娜其实不喜欢汉堡王的薯条。
深夜，我接到一个电话。 我以为是朋友打的，就接了。 电话那头的女人我不熟悉。 我问是谁打的，为什么打过来。
这天，收银员奈莉在店里过得很不好。 她小错不断，顾客们很抓狂。 她最后一名顾客也生气了。虽然不是她的错。 休息时间一到，她立马冲到外面。
艾力克的女儿还想要一些积木来玩。 艾力克觉得积木可以培养她的科学思维。 艾力克买了带字母的积木。 艾力克的女儿不是摆积木，而是用积木拼单词。
我决定杀死我的邻居。 半夜，我潜入他家。 趁他睡着，我杀了他。 我被警察抓住了。
提姆在旧货店买了一台唱片机。 他没有唱片来放。 他问父母有没有。 父母把年轻时攒的唱片都给了他。
艾米想变得健康。 她买了一个奶昔搅拌机。 她做了好喝的果蔬奶昔。 花了20分钟才把搅拌机洗干净。
缇娜为参加高中舞蹈队试演。 跳完后，教练想和她谈谈。 他说她的技巧不好，不能入队。 她立马离开了试演室。
萨莉正好在工间休息。 她走到外边的卷饼摊，想买点卷饼。 她发现自己把钱包落家里了。 一个好心的男人注意到了，帮她付了钱。
艾米获得了一个小小的加薪。 虽然钱没有她想的那么多。 老板告诉她钱会在下一张支票上。 她拿到支票时，并没有多的钱。
詹妮弗想加入学校乐队。 她开始上大提琴课。 她有进步，但是进步不快。 她觉得还没做好参加乐队选拔的准备。
弗雷德和朋友们一起去了海滩。 他喜欢水和阳光。 太阳下山后，他的朋友们在沙滩上开了一个派对。 弗雷德喝醉了，晕倒在沙滩上。
有一天，罗尼骑着自行车去上班。 突然，他撞到一块石头，摔了下来。 他没受伤，但衣服破了。 他还是坚持去上了班。
伯克没有多少朋友。 他总是皱着眉头走来走去。 有一天，一个陌生人对他说，他应该多微笑。 伯克决定试着笑一笑。
一天晚上，马特正开车回家。 他没留心。 他撞伤了一个过马路的慢跑者。 马特很惊慌，停车查看她的情况。
才艺表演让布莱恩很兴奋。 他一直在加练击鼓。 为张扬个性，他穿着短裙上了舞台。 表演完成后，大家纷纷起立，热烈鼓掌。
万圣节就快要到了。 我决定装饰一下自己的房子。 我去商店购买饰品。 我回到家，把新的物件收拢在一起。
我最近升职了。 我已经在公司工作了近八年。 我兢兢业业地工作，赢得了这次晋升。 当老板向我提供新岗位时，我非常高兴！
蒂亚想做一些东西，到手工艺品展会上出售。 她决定做手工香皂。 她用厨灶上的一口大锅做了甘油肥皂。 然后她把花压入肥皂块中心。
有一天，警察正在调查一个犯罪现场。 他们不知下一步该怎么走。 他们得到一个提示，去图书馆后面搜查。 在那里，他们发现了一些关键证据。
帕特即将参加一场数学考试。 他非常努力地学习了一礼拜。 帕特制作了抽认卡，在公交车上读。 帕特在考试中取得了好成绩。
玛莎刚刚和丈夫搬到一起住。 她从未做过饭，而这是她今晚的工作。 她曾设想，自己能做一桌美味的饭菜。 很不幸，她把鸡肉烧焦了，还把米饭煮过了头。
所罗门不喜欢自己的名字。 他认为这太老套了。 一次工作面试中，面试官称赞了他的名字。 所罗门怀疑自己被录用与他独特的名字有关。
凯莉昨天得到了一个新手镯。 她超爱它。 然而今天购物时，她把它弄丢了。 她四处寻找。
我的配偶是一个狂热的星战迷，超爱《星球大战》。 他的圣诞礼物送什么好，我需要个主意。 我决定给他买《星球大战》的门票。 他很喜欢我在圣诞节早晨送他的礼物。
一天结束时，本非常累。 顾客要吃意大利面条。 本懒得洗盘子，就把食物盛放在一个脏盘子上。 一周后，餐厅被顾客起诉。
昨天，斯泰西正开车去上班。 很不幸，一辆大型 SUV 撞上了她. 所幸她没事。 可她的车毁了。
凯伦和戴安娜从小就是最好的朋友。 现在上高中了，她们开始考虑大学的事情。 她们都申请了康奈尔大学，并打算做室友。 凯伦被录取了，但戴安娜没有，这对两人来说都难以接受。
很遗憾，我们的小猫咪两周前去世了。 她还是只小猫，我们不知道她为什么会死。 早上醒来时，我们发现她躺在地板上。 我丈夫把她埋在后院。
莱莉喜欢去集市。 宠物动物园是她最喜欢的部分。 她在喂牛前喂了一只小山羊。 山羊想从她那里得到更多食物，但她没有理会。
我的嫂子莎莉上个月与我们家联系了。 莎莉与家人很疏远。 她跑去结婚，没有保持联系。 她的丈夫现在在一家临终关怀医院。
劳拉决定一路直飞纽约市。 她专门飞去做头发。 她希望由一位明星发型师为她理发。 完成后，劳拉很喜欢。
尼尔刚刚抵达保加利亚。 他乘坐的火车把他带到了索非亚的中心。 这个繁忙的首都让他感到惊奇。 它是如此美丽和繁忙！
一个男人沿着一个州立公园的小路跑步。 他来到小路边的一扇门前。 那扇门看起来低得可以跳过去。 男人助跑后奋力一跃。
我排了一整天的队，去看一部我心知自己会喜欢的电影。 要看这部电影，我非常兴奋。 进入影院时，我兴奋得几乎无法动弹。 我看完了整部电影。
我一直想要花哨的袜子。 今年生日，我决定犒劳一下自己。 我读了一些评论，随后去了商店。 一到那里，我就买了一双自认为最好的。
格雷森自幼开始收集邮票。 现在格雷森需要一些钱来付房租。 他想到了自己收藏的邮票。 可惜的是，他把它们带到当铺去卖。
兰斯和亚当是最好的朋友。 当兰斯入伍时，亚当也报了名。 他们在同一个单位，一起接受部署。 兰斯为亚当挡了一颗子弹。
我走进了牙医诊室。 签完考勤表后，牙医向我打招呼。 他指示我该坐在哪里。 随后，他开始为我看牙。
蒂姆一直想打鼓。 他的父母在圣诞节给他买了一套。 他一直打个不停。 声音太吵了，让他父母觉得很烦。
我喜欢可以尽情吃的自助餐。 我家旁边曾有一家很棒的自助餐厅。 它有来自世界各地的各种食物。 唯一的问题是，它非常贵。
肯尼在公园里玩。 他在攀登架上试图做杂技动作。 他爬得太高了，摔下来了。 他的手臂三处骨折了。
玛格抛开丈夫和孩子，独自过了一晚。 她洗了个泡泡浴。 然后点了中餐外卖。 玛格整晚都在放松，看电影。
莉莉为感恩节做了蔓越莓酱。 这是她第一次见男朋友的父母。 在她咬了一口自己做的食物之前，这顿饭都很顺利。 她意识到她忘了放糖了。
我的两个孩子十二月都从大学回家了。 我们决定一起度过一个有趣的暑假。 我们一起烤了饼干，装饰了房子，去了购物。 我们也制作了一些圣诞礼物。
一天，迈克尔看到一只松鼠住在垃圾箱里。 他觉得这是松鼠保持温暖的一种可爱的方式。 当垃圾被送到垃圾填埋场的时候，松鼠不见了！ 几星期后，迈克尔又看到另一只松鼠在垃圾箱里。
罗伯喜欢萨尔萨辣酱。 因此他的朋友汤姆送给他一大箱稀有类型的。 汤姆很激动将这份礼物送给罗伯。 罗伯在不可思议中打开这份礼品，露出了微笑。
詹妮弗从出发台上跃下。 她总是觉得她拖了全队的后腿。 她以前所未有的力度奋力游，以便追上其他选手。 她甚至超过了几个其他选手，最终排在了第二名。
埃斯在和朋友们玩扑克牌。 一开始他很开心。 随后他发现了一些奇怪的事。 他的其中一个朋友在偷偷作弊！
保罗想给他的妻子买一份礼物。 不幸的是，他拿不定主意要买什么。 他为此烦恼了好几天。 最后到了他的妻子的生日了。
我兄弟得到一张传票。 他没有去法庭。 最后他又一次被拦下了。 他们因他未出庭而逮捕了他。
蒂姆想更多地与大自然亲近。 因此，他外出到森林里去。 他听到鸟儿鸣叫、风声萧萧、蟋蟀吱吱作响。 他是如此地热爱这一切，他建了一个很大的树屋，搬了进去。
泰德的父母告诉他要专注于学习而不是游戏。 泰德认为游戏是一种快速发展的艺术形式，值得赞赏。 泰德开始写作关于不同游戏的评论和文章。 这些评论和文章被发表在国家级杂志上。
把她的孩子送到学校后，塔米去献血了。 在去处理几趟差事之前，她喝了一些果汁补充体力。 随后塔米前往健身房，上她最喜欢的有氧运动课。 在高强度锻炼了四十分钟后，塔米晕倒了。
阿比盖尔遵循着严格的日程表。 她早上和晚上都去散步。 她每次在附近散步大约 30 分钟。 有时她甚至带上她的狗德克斯特。
艾迪总觉得自己与众不同。 上周他独自一个在电梯里。 他听到一个声音告诉他前往哪一层。 这把他吓坏了，他寻求心理帮助。
杰伊早上被他的汽车警报声吵醒。 他跑出去看发生了什么，只看到他的汽车被损坏了。 有人撞到了他的车，然后开车走了。 后保险杆已经损坏了，掉在了地上。
街上有一所房子发生了煤气泄漏。 住在那里的人并不知道。 他们出去上了一天班，煤气充满了房子。 一个小火星导致房子爆炸了。
卡门想要做更健康的披萨。 卡门需要为这种披萨找到一份食谱。 卡门找到了一份带菜花外壳的食谱。 卡门前往商店购买原料。
鲁弗斯注意到他让他的指甲长得太长了。 当他在电脑键盘打字时，它们发出响亮的敲击声。 一天晚上，鲁弗斯决定剪掉他的指甲。 当他终于完成后，他感到如释重负。
赫尔曼非常饿，但是没有钱。 因此他搜遍了他的房子，看有没有多余的零钱。 他在沙发下找到二十五美分，在梳妆台里找到一美元。 赫尔曼得到了两美元，走向了商店。
凯莉急匆匆地赶着准时上飞机。 不幸的是，安检似乎永远没完没了。 当她离开安检时，她查看了时间。 现在是六点，她的航班半小时前就起飞了。
每个人都喜欢奶奶做的蜜桃派。 她是用果园里长的桃子做的。 孩子们的任务是去果园里摘桃子，用来做蜜桃派。 他们总是确保自己摘了最好的桃子。
坎迪斯热爱玉米饼。 虽然她的热爱很强烈，但是她的玉米饼并不怎么样。 坎迪斯决定她要改善她的玉米饼食谱。 她搜寻各种不同的玉米饼食谱。
托尼喜欢艺术。 他决定去上大学，读艺术课程。 他在大学里上了相当于 4 年的艺术课。 当他毕业后，他找不到工作。
珍妮的父母离婚了。 珍妮和她的妈妈搬进了一家满是蟑螂的小公寓。 公寓里没有炉子，因此她们在烤面包机上烤鸡块。 珍妮的妈妈没钱了，因此她们前往一家食物银行。
比尔想要减肥。 他想要尝试已经好多年了，但是一直缺乏积极性。 他终于不再对自己那么严格了。 他的信心在增长，每周都实现他的目标。
一个派对上，三个小女孩站在水池边。 其中一个不小心地将最年轻的那个女孩推进了池子里。 小女孩不会游泳，开始下沉。 她的爸爸发现了，跑过来将她从水里拉了出来。
在吃早饭时，我看到一位女士。 她很可爱，因此我把她叫了过来。 她坐下了，我们谈了几小时。 我们真的相处愉快。
辛迪已经开车几个月了。 但是她从来没有在下雨时开车。 她不得不在一个下雨天开车去学校。 但是她太害怕了。
我整理了一份趣闻和琐事的清单。 我将它们放在一本小册子里。 我打印了很多份。 我把它当做咖啡桌或者浴室读物来出卖。
鲍勃（Bob）去旧货商店淘东西。 他发现了一台售价 5 美元的相机。 他到家时查了一下这台相机的价值。 令他吃惊的是，这台相机竟然价值 5000 美元！
罗孚（Rover）喜欢和它的主人玩捡东西的游戏。 有一天，它的主人重重地投出了球。 球弹过了街道。 罗孚以惊人的技巧在车流中穿梭而过。
我妈妈正要开车穿过一条铁轨。 信号灯亮起指示小汽车同行。 然而，这是一次错误的信号，一列火车正在靠近。 它距离汽车只有几英尺的距离了。
凯利（Kelly）夏天在 Cedar Point 工作。 某天，她在工作的时候在地上捡到了 20 美元！ 她跑到保安亭，把这 20 美元交给了他们。 一周后，没有人认领这笔钱。
艾伦（Alan）想测试一下他的打字速度。 他访问了一个在线测试网站。 结果显示了出惊人的速度。 他想将这项特长用于应聘。
安妮（Anne）一到50岁，就发现了一些令人不安的事情。 她的头发开始变灰了！ 她打算染发以掩盖灰色的头发。 然后她决定尊重她的智慧和阅历。
康妮（Connie）受邀参加一个聚会。 当她抵达聚会的时候，正在播放一首奇怪的音乐。 她环顾四周，每个人都跳着奇怪的舞蹈。 她害怕极了，打道回府了。
数月前，我买了一辆车。 我想我可以通过改装让它变得更酷。 我做了一些改变，并让朋友帮助我进行了改装。 不幸的是，我的车没有通过州内的检查。
特伦特（Trent）和他的家人踏上了一场公路旅行。 他们收拾好了所有的行李箱和零食准备开车出发。 七十二小时后他们将抵达拉斯维加斯。 轮到特伦特开车时，他睡着了。
布兰登（Brandon）住在清水镇（Clearwater）。 他喜欢住在海边。 他的房屋前面修建了一个码头。 他决定去考取钓鱼执照。
兰迪（Randy）仔细观察着珠宝店里的订婚戒指。 他注意到一个中心镶嵌有大钻石的精美戒指。 兰迪询问店员是否可以仔细看看戒指。 近距离观察下，这枚戒指显得更加璀璨！
这是我生平第一次前往歌剧院。 我的女朋友喜欢歌剧但是我不喜欢。 他们在城里表演，因此我告诉她我会去。 出人意料的是，我享受了一段美好的时光！
谢伊（Shay）被要求在星期六来办公室。 他们将要召开一个商务会议，希望她能出席。 谢伊周末想休息，但她还是答应了。 在发薪日，她看到自己收到了那个周六的加班费。
我们的狗名叫肉桂（Cinnamon）。 它十分可爱。 它开始变老，更加虚弱了。 因为它正在遭受痛苦，我们不得不让它安乐死。
